@relation JKW_TWCL_1

@attribute TWEETCL_ string
@attribute @@class@@ {POS,NEG}

@data
'ketua gp ansor tuduhan komunis hanya adu domba untuk hambat laju',NEG
'dimanakah anies baswedan apakah karena sudah kalah akhirnya ia ngacir',NEG
'suara nol untuk di madura bukan pelanggaran pemilu',NEG
'kehilangan kesabaran terima laporan kecurangan di madura politik',NEG
'tim hukum terima laporan dugaan kecurangan',NEG
'saat ini yg ada diotak pdip tim bagaimana hasil akhir perhitungan kpu harus bisa menyesuaikan hasil quick coun',NEG
'temui megawati laporkan penggembosan suara di jawa sekembalinya dari keliling jawa ca bajuri',NEG
'temui megawati laporkan indikasi penggembosan suara kami melihat ada pola penggembosan',NEG
'karna sbgian dari koalisi adlah kaum komunis yg anarki maka sperti itulah yg dlakukan jka nanti kalah atas ptusan kpu',NEG
'hot bersiap kerusuhan pasca pengumuman kekalahan jkw by is likable',NEG
'lol tdk apa tdk apa biar jkw jd presiden rakyat qc aja kalau kpu salah burhan jadi menteri qc',NEG
'boneka yg nyuruh majikan jkw inget loh boneka ya ttp boneka mgkin bowo mnolak ktemu pencitraan ngga ni',NEG
'lol tdk apa tdk apa biar jkw jd presiden rakyat qc aja kalau kpu salah burhan',NEG
'lawan bersiap kerusuhan pasca pengumuman kekalahan jkw by is likable',NEG
'bersiap kerusuhan pasca pengumuman kekalahan jkw by is likable',NEG
'ahok bongkar kebohongan besar',NEG
'lawan bersiap kerusuhan pasca pengumuman kekalahan jkw by is likable http',NEG
'so msh mau maksa dukung jkw jg aku takkan dukung antek asing krn itu akan mhancurkan bangsaku dan mmiskinkan rakyat puas',NEG
'tambah parah macet jd lbih parah bth waktu jam utk perjalanan ke slipi blum lg banjirnya sisanya pencitraan jkw',NEG
'rencana bahaya kubu jkw mengotak atik hasil rc kpu by chirpstory',NEG
'jgn mnutup mata mba kubu jkw jg ko lebih anarkis lg',NEG
'korps mubaligh laporkan media pendukung jakarta post karena penghinaan atas agama islam korp kabari',NEG
'bertambahnya jumlah org miskin di solo dan jakarta itu fakta kalo ada yg bilang berhasil atasi kemiskinan justru fitnah dan penipuan',NEG
'mayoritas orang madura muslim yg tho at kpd ulama mereka takut nkri mnjd negri komunis haram pilih jkw',NEG
'knp hrs kaget slma ini jkw itu pencitraan siapa yg mau pilih pemimpin anti islam asal usul aja gajelas aku ra',NEG
'adil lembaga survei yang menangkan dilaporkan ke mabes polri yahoo news indonesia via',NEG
'laporan sebagai petugas partai kepada megawati bahwa suaranya merasa digembosi',NEG
'akan jadi tangis kita semua karena kemenangan palsu di pasangan kita kita di bohongi jkw',NEG
'pantau langsung perolehan suara di jawa berdasarkan laporan tim sukses potensi kecurangan sangat',NEG
'mengenal capres anak pki gerwani kader komunis rr angkatan pertama',NEG
'antara lain issue tentang kerusuhan yg akan dibuat kubu jika dinyatakan kalah oleh kpu',NEG
'haduh dpt nol lagi ya di tps ini suara nol',NEG
'terbukti menggunakan buku nikah palsu kenapa belum ditangkap juga thn penjara',NEG
'jkw ga suka koperasi lah jelas cukong nya aja pemilik bank hehe biar rakyat indo utang ke bank ga bsa bayar kan lahan nya ambil ckong',NEG
'publik yg haus pemimpin bercitra kerakyatan terbius propaganda ala goebbels oleh kubu jkw',NEG
'jkw ga suka koperasi lah jelas cukong nya aja pemilik bank hehe biar rakyat indo utang ke bank ga bsa bayar kan lahan',NEG
'tuh ikutin kultwit mbah biar hapal cukong jkw hehe',NEG
'asg pnya tw sma aja cukong jkw tapi yg saya liat kebanyakan iklan di metro tv itu milik agung sedayu grup kalo',NEG
'ga tau apalagi yg bisa dipercaya dari tim kubu jkw speechless',NEG
'asg apg itu sama bersaing cuma beda pemilik yah wlau dpnnya agung jg sama cukong jkw yg pengen ambil lahan indo sma pnya bank swasta',NEG
'asg apg itu sama bersaing cuma beda pemilik yah wlau dpnnya agung jg sama cukong jkw yg pengen ambil lahan indo sma',NEG
'asg pnya tw sma aja cukong jkw tapi yg saya liat kebanyakan iklan di metro tv itu milik agung seday',NEG
'kalo pendukungnya masih ribut terus soal quick count kawal mrngawal kemungkinan mereka akan rusuh di tgl juli',NEG
'alasan tni polri berdiam diri melihat anarkis kubu jkw is topping the popularity chart',NEG
'kalau jkw kalah akan dibantai oleh semua yang selama ini susah payah mendongkrak pencitraannya',NEG
'jare menang ning luar negeri keok gawe opini ne bisa bae rakyat cherbone gen ketipu lol',NEG
'sekilas ingpo ott kpk tangkap pendana jkw by has been chirpified',NEG
'sia sianya harapan jkw diberi selamat kepala negara asing by chirpstory',NEG
'kepalsuan sang fenomenal jkw by chirpstory',NEG
'benar sekali orang banyak yg pinter dan nggak terkecoh lg pencitraan ternyata calon pasien kpk tobatlah',NEG
'artinya kubu jkw gak mau negri ini aman damai',NEG
'ngaku tegas berani tantng ngebuktikn klu jkw ga sanggup trima dasar jkw penipu rakyat',NEG
